Название	Год	Ссылка	Оценка
Шарлотта	2015		10
Лига выдающихся джентльменов	2003	http://www.kinopoisk.ru/film/7975/	10
Твое имя	2016	http://www.kinopoisk.ru/film/958722/	10
Девять	2009	http://www.kinopoisk.ru/film/180577/	10
Леон	1994	http://www.kinopoisk.ru/film/389/	10
Корабль-призрак	2002	http://www.kinopoisk.ru/film/5901/	10
Форсаж	2001	http://www.kinopoisk.ru/film/666/	10
Престиж	2006	http://www.kinopoisk.ru/film/195334/	10
7 смертных грехов	2000	http://www.kinopoisk.ru/film/49065/	10
Дум	2005	https://www.kinopoisk.ru/film/84140/	10
Ванпанчмен	2015		10
Фонтан	2006	http://www.kinopoisk.ru/film/81583/	10
Ранго	2011	http://www.kinopoisk.ru/film/426053/	10
Сокровище нации	2004	http://www.kinopoisk.ru/film/61333/	10
Чужой	1979	http://www.kinopoisk.ru/film/386/	10
Город бога	2002	http://www.kinopoisk.ru/film/439/	10
Неудержимые	2010	http://www.kinopoisk.ru/film/432550/	10
Грань будущего	2014	http://www.kinopoisk.ru/film/505851/	10
Одна сотая секунды	2006	http://www.kinopoisk.ru/film/272683/	10
Брестская крепость	2010	http://www.kinopoisk.ru/film/436263/	10
Эффект бабочки	2003	http://www.kinopoisk.ru/film/5167/	10
Интерстеллар	2014	http://www.kinopoisk.ru/film/258687/	10
Миллионер из трущоб	2008	http://www.kinopoisk.ru/film/413362/	10
Двенадцать друзей Оушена	2004	http://www.kinopoisk.ru/film/18294/	10
Реквием по мечте	2000	http://www.kinopoisk.ru/film/367/	10
Команда - А	2010	http://www.kinopoisk.ru/film/96452/	10
Наркоз	2007	http://www.kinopoisk.ru/film/37547/	10
1+1	2011	http://www.kinopoisk.ru/film/535341/	10
Кодекс вора	2008	http://www.kinopoisk.ru/film/395713/	10
Искусственный разум	2001	http://www.kinopoisk.ru/film/594/	10
Форсаж 5	2011	http://www.kinopoisk.ru/film/496943/	10
Шестое чувство	1999	http://www.kinopoisk.ru/film/395/	10
Зеленая миля	1999	http://www.kinopoisk.ru/film/435/	10
Город воров	2010	http://www.kinopoisk.ru/film/462732/	10
Пока не сыграл в ящик	2007	http://www.kinopoisk.ru/film/258885/	10
Обливион	2013	http://www.kinopoisk.ru/film/746470/	10
Мстители	2012	http://www.kinopoisk.ru/film/263531/	10
Три икса	2002	http://www.kinopoisk.ru/film/6032/	10
Остров	2005	http://www.kinopoisk.ru/film/81291/	10
Принц Персии: Пески времени	2010	http://www.kinopoisk.ru/film/195394/	10
28 дней спустя	2002	http://www.kinopoisk.ru/film/577/	10
На грани	2012	http://www.kinopoisk.ru/film/493222/	10
Знамение	2009	http://www.kinopoisk.ru/film/102510/	10
Судьба: Ночь Схватки. Бесконечный мир клинков	2010	http://www.kinopoisk.ru/film/495761/	10
Другие	2001	http://www.kinopoisk.ru/film/494/	10
Загадочная история Бенджамина Баттона	2008	http://www.kinopoisk.ru/film/81555/	10
Лекарь: Ученик Авиценны	2013	http://www.kinopoisk.ru/film/645276/	10
Мстители: Эра Альтрона	2015	http://www.kinopoisk.ru/film/679830/	10
13 привидений	2001	http://www.kinopoisk.ru/film/7639/	10
Рокки Бальбоа	2006	http://www.kinopoisk.ru/film/195273/	10
Звездный путь	2009	http://www.kinopoisk.ru/film/255129/	10
Побег из Шоушенка	1994	http://www.kinopoisk.ru/film/326/	10
Иллюзия обмана	2013	http://www.kinopoisk.ru/film/522892/	10
РЭД	2010	http://www.kinopoisk.ru/film/450237/	10
Трон: Наследие	2010	http://www.kinopoisk.ru/film/399959/	10
Кровавый алмаз	2006	http://www.kinopoisk.ru/film/102376/	10
Сайлент Хилл	2006	http://www.kinopoisk.ru/film/78871/	10
Двадцать одно	2008	http://www.kinopoisk.ru/film/195847/	10
Последний легион	2006	https://www.kinopoisk.ru/film/179292/	10
Игры разума	2001	http://www.kinopoisk.ru/film/530/	10
Смертельная гонка	2008	http://www.kinopoisk.ru/film/102136/	10
Тюряга	1989	http://www.kinopoisk.ru/film/6241/	10
Патэма наоборот	2013	http://www.kinopoisk.ru/film/684131/	10
Остров проклятых	2009	http://www.kinopoisk.ru/film/397667/	10
Девять	2005	http://www.kinopoisk.ru/film/94286/	10
12 лет рабства	2013	http://www.kinopoisk.ru/film/606646/	10
Угнать за 60 секунд	2000	http://www.kinopoisk.ru/film/2011/	10
Обитель зла	2002	http://www.kinopoisk.ru/film/801/	10
Счастливое число Слевина	2005	http://www.kinopoisk.ru/film/86326/	10
Гладиатор	2000	http://www.kinopoisk.ru/film/474/	10
Каратэ-пацан	2010	http://www.kinopoisk.ru/film/412162/	10
Время	2011	http://www.kinopoisk.ru/film/517988/	10
Троя	2004	http://www.kinopoisk.ru/film/3442/	10
Форсаж 4	2009	http://www.kinopoisk.ru/film/395978/	10
Книга Илая	2009	http://www.kinopoisk.ru/film/424266/	9
Марсианин	2015	http://www.kinopoisk.ru/film/841700/	9
Ходячий замок	2004	http://www.kinopoisk.ru/film/49684/	9
На крючке	2008	http://www.kinopoisk.ru/film/387477/	9
Хранители	2009	http://www.kinopoisk.ru/film/252641/	9
Как приручить дракона	2010	http://www.kinopoisk.ru/film/280172/	9
Гран Торино	2008	http://www.kinopoisk.ru/film/408410/	9
Рокки 2	1979	http://www.kinopoisk.ru/film/7275/	9
Царь скорпионов	2002	http://www.kinopoisk.ru/film/3665/	9
V значит Вендетта	2006	http://www.kinopoisk.ru/film/86208/	9
Суррогаты	2009	http://www.kinopoisk.ru/film/397671/	9
Апокалипсис	2006	http://www.kinopoisk.ru/film/160977/	9
Крикуны	1995	http://www.kinopoisk.ru/film/28214/	9
Тринадцать друзей Оушена	2007	http://www.kinopoisk.ru/film/251879/	9
Превосходство Борна	2004	http://www.kinopoisk.ru/film/41947/	9
Рокки 3	1982	http://www.kinopoisk.ru/film/7272/	9
Готика	2003	http://www.kinopoisk.ru/film/3526/	9
Терминатор 2: Судный день	1991	http://www.kinopoisk.ru/film/444/	9
Шерлок Холмс	2009	http://www.kinopoisk.ru/film/420923/	9
Скалолаз	1993	http://www.kinopoisk.ru/film/8164/	9
Перевозчик	2002	http://www.kinopoisk.ru/film/6206/	9
Бой с тенью 2: Реванш	2007	http://www.kinopoisk.ru/film/105013/	9
Звездный десант	1996	http://www.kinopoisk.ru/film/326077/	9
Ультиматум Борна	2007	http://www.kinopoisk.ru/film/87672/	9
